date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
4/26/2020,51397,1222,2571,14104,2209,56149,112919,4493121,179153,227,5121,969581,27058,116565,56,5615591,206301
4/25/2020,50175,1627,2516,14415,2305,57343,110710,4313968,235498,227,5266,942523,35651,112603,56,5409290,274228
4/24/2020,48548,1972,2468,14605,2372,57324,108405,4078470,204270,227,5187,906872,34274,103423,56,5135062,241371
4/23/2020,46576,1814,2428,14744,2827,59216,106033,3874200,167488,227,5464,872598,31970,96947,56,4893691,208275
4/22/2020,44762,2082,2370,15013,3097,59212,103206,3706712,294645,227,5474,840628,29136,92996,56,4685416,338620
4/21/2020,42680,2481,2315,14941,2733,59773,100109,3412067,128793,214,5514,811492,26213,72870,56,4346796,166007
4/20/2020,40199,1815,2193,14463,2311,56734,97376,3283274,119449,214,5567,785279,26105,69507,56,4180789,147869
4/19/2020,38384,1763,2145,14385,2162,56497,95065,3163825,127137,214,5603,759174,27279,67227,56,4032920,151437
4/18/2020,36621,1891,2096,14769,3449,57788,92903,3036688,118084,205,5729,731895,27826,62923,56,3881483,156988
4/17/2020,34730,2118,2052,14890,3366,58886,89454,2918604,125452,187,6096,704069,31982,53562,56,3724495,164084
4/16/2020,32612,2197,1834,15130,3165,59498,86088,2793152,134794,176,5940,672087,31577,48851,56,3560411,176230
4/15/2020,30415,2546,1783,14646,3510,59924,82923,2658358,108511,223,6032,640510,29859,43448,56,3384181,146526
4/14/2020,27869,2353,1715,14039,3174,59600,79413,2549847,126182,221,5975,610651,26078,39304,56,3237655,161065
4/13/2020,25516,1630,1622,13620,4480,56237,76239,2423665,107474,208,6168,584573,24398,35381,56,3076590,130807
4/12/2020,23886,1700,1449,13620,3331,55449,71759,2316191,111132,158,5968,560175,28001,34081,56,2945783,139465
4/11/2020,22186,2079,1399,13285,3747,55557,68428,2205059,110160,152,5978,532174,31105,31567,56,2806318,141411
4/10/2020,20107,2072,1179,12693,4909,53167,64681,2094899,118212,39,5937,501069,33489,29015,56,2664907,154558
4/9/2020,18035,2062,918,12450,3831,51313,59772,1976687,139997,39,5794,467580,35090,24835,56,2510349,174405
4/8/2020,15973,1997,862,10337,4321,45515,55941,1836690,119133,39,4131,432490,30917,21132,56,2335944,158366
4/7/2020,13976,2044,738,9978,2997,43849,51620,1717557,122368,43,4076,401573,30701,18481,56,2177578,154711
4/6/2020,11932,1313,663,7079,2943,36159,48623,1595189,121910,39,2961,370872,28409,16557,56,2022867,151277
4/5/2020,10619,1339,609,5811,3937,32180,45680,1473279,94604,39,652,342463,25655,14589,56,1871590,122226
4/4/2020,9280,1481,403,5500,5012,30268,41743,1378675,195398,39,656,316808,32885,12844,56,1749364,228244
4/3/2020,7799,1285,335,4928,4603,25777,36731,1183277,100552,39,623,283923,31838,10861,56,1521120,135375
4/2/2020,6514,1178,305,4513,4198,22997,32128,1082725,93116,32,574,252085,28045,8586,56,1385745,122911
4/1/2020,5336,1004,256,3937,4134,20906,27930,989609,83448,32,561,224040,26116,7084,56,1262834,112497
3/31/2020,4332,907,230,3487,3998,18155,23796,906161,87930,,507,197924,25184,5666,56,1150337,114632
3/30/2020,3425,588,187,3087,2472,15917,19798,818231,95634,,451,172740,21470,4560,56,1035705,116583
3/29/2020,2837,504,156,2456,2794,14055,17326,722597,65412,,439,151270,19444,4076,56,919122,83552
3/28/2020,2333,551,140,2174,2409,12409,14532,657185,97762,,390,131826,19606,3145,56,835570,100456
3/27/2020,1782,408,124,1792,2572,10978,12123,559423,77275,,324,112220,19244,2418,56,735114,102115
3/26/2020,1374,316,91,1299,2478,7805,9551,482148,86516,,258,92976,17734,97,56,632999,108422
3/25/2020,1058,238,74,,1949,5140,7073,395632,70882,,167,75242,12891,146,56,524577,89096
3/24/2020,820,238,,,1178,3938,5124,324750,59562,,,62351,10749,,56,435481,71725
3/23/2020,582,101,,,920,2812,3946,265188,46432,,,51602,11435,,56,363756,58237
3/22/2020,481,146,,,1005,2173,3026,218756,35698,,,40167,9154,,56,305519,49861
3/21/2020,335,62,,,1849,1492,2021,183058,40052,,,31013,6816,,56,255658,49516
3/20/2020,273,70,,,44,1042,172,143006,29766,,,24197,6112,,56,206142,43236
3/19/2020,203,48,,,34,617,128,113240,23147,,,18085,4700,,56,162906,32950
3/18/2020,155,31,,,18,416,94,90093,18756,,,13385,3364,,56,129956,27334
3/17/2020,124,24,,,33,325,76,71337,16411,,,10021,2249,,56,102622,23341
3/16/2020,100,21,,,6,,43,54926,19511,,,7772,1857,,56,79281,24253
3/15/2020,79,15,,,10,,37,35415,6078,,,5915,1188,,51,55028,9117
3/14/2020,64,8,,,4,,27,29337,5250,,,4727,982,,51,45911,8464
3/13/2020,56,5,,,6,,23,24087,6210,,,3745,949,,51,37447,9023
3/12/2020,51,8,,,5,,17,17877,5304,,,2796,743,,51,28424,6511
3/11/2020,43,6,,,3,,12,12573,3808,,,2053,502,,51,21913,4614
3/10/2020,37,2,,,0,,9,8765,2621,,,1551,439,,51,17299,3149
3/9/2020,35,4,,,3,,9,6144,1802,,,1112,285,,51,14150,2189
3/8/2020,31,4,,,0,,6,4342,910,,,827,196,,51,11961,1182
3/7/2020,27,1,,,0,,6,3432,714,,,631,134,,51,10779,955
3/6/2020,26,6,,,1,,6,2718,775,,,497,130,,39,9824,961
3/5/2020,20,4,,,1,,5,1943,546,,,367,88,,30,8863,657
3/4/2020,16,2,,,4,,4,1397,951,,,279,134,,24,8206,1041
3/3/2020,14,3,,,0,,,446,203,,,145,51,,13,7165,292
3/2/2020,11,3,,,0,,,243,158,,,94,44,,11,6873,212
3/1/2020,8,3,,,0,,,85,61,,,50,32,,10,6661,109
2/29/2020,5,1,,,0,,,24,24,,,18,18,,7,6552,62
2/28/2020,4,2,,,0,,,0,0,,,0,0,,7,6490,3
2/27/2020,2,0,,,0,,,0,0,,,0,0,,7,6487,6446
2/26/2020,2,2,,,0,,,0,0,,,0,0,,5,41,0
2/25/2020,0,0,,,0,,,0,0,,,0,0,,5,41,1
2/24/2020,0,0,,,0,,,0,0,,,0,0,,5,40,2
2/23/2020,0,0,,,0,,,0,0,,,0,0,,5,38,0
2/22/2020,0,0,,,0,,,0,0,,,0,0,,5,38,1
2/21/2020,0,0,,,0,,,0,0,,,0,0,,5,37,1
2/20/2020,0,0,,,0,,,0,0,,,0,0,,5,36,1
2/19/2020,0,0,,,0,,,0,0,,,0,0,,5,35,6
2/18/2020,0,0,,,0,,,0,0,,,0,0,,5,29,0
2/17/2020,0,0,,,0,,,0,0,,,0,0,,5,29,1
2/16/2020,0,0,,,0,,,0,0,,,0,0,,5,28,2
2/15/2020,0,0,,,0,,,0,0,,,0,0,,5,26,4
2/14/2020,0,0,,,0,,,0,0,,,0,0,,4,22,0
2/13/2020,0,0,,,0,,,0,0,,,0,0,,4,22,1
2/12/2020,0,0,,,0,,,0,0,,,0,0,,4,21,1
2/11/2020,0,0,,,0,,,0,0,,,0,0,,4,20,1
2/10/2020,0,0,,,0,,,0,0,,,0,0,,4,19,1
2/9/2020,,0,,,0,,,0,0,,,0,0,,3,18,0
2/8/2020,,0,,,0,,,0,0,,,0,0,,3,18,2
2/7/2020,,0,,,0,,,0,0,,,0,0,,3,16,0
2/6/2020,,0,,,0,,,0,0,,,0,0,,3,16,1
2/5/2020,,0,,,0,,,0,0,,,0,0,,3,15,0
2/4/2020,,0,,,0,,,0,0,,,0,0,,3,15,4
2/3/2020,,0,,,0,,,0,0,,,0,0,,3,11,3
2/2/2020,,0,,,0,,,0,0,,,0,0,,3,8,0
2/1/2020,,0,,,0,,,0,0,,,0,0,,3,8,0
1/31/2020,,0,,,0,,,0,0,,,0,0,,3,8,3
1/30/2020,,0,,,0,,,0,0,,,0,0,,3,5,0
1/29/2020,,0,,,0,,,0,0,,,0,0,,3,5,2
1/28/2020,,0,,,0,,,0,0,,,0,0,,2,3,0
1/27/2020,,0,,,0,,,0,0,,,0,0,,2,3,1
1/26/2020,,0,,,0,,,0,0,,,0,0,,2,2,0
1/25/2020,,0,,,0,,,0,0,,,0,0,,2,2,0
1/24/2020,,0,,,0,,,0,0,,,0,0,,2,2,0
1/23/2020,,0,,,0,,,0,0,,,0,0,,2,2,1
1/22/2020,,0,,,0,,,0,0,,,0,0,,2,1,0
